"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2018","384.60","385.60","385.60","382.80","57.25K","-0.31%"
"02/22/2018","386.80","382.40","386.80","379.40","91.56K","0.57%"
"02/23/2018","384.00","384.20","388.00","380.80","79.93K","-0.72%"
"02/26/2018","380.00","384.80","386.00","380.00","22.17K","-1.04%"
"02/27/2018","383.00","381.00","385.40","380.20","56.15K","0.79%"
"02/28/2018","374.20","380.20","382.20","374.20","63.82K","-2.30%"
"03/01/2018","362.60","374.00","374.20","362.60","87.82K","-3.10%"
"03/02/2018","357.80","360.40","362.40","354.40","65.44K","-1.32%"
"03/05/2018","374.00","356.60","374.20","355.80","52.11K","4.53%"
"03/06/2018","372.60","374.00","376.40","369.00","30.25K","-0.37%"
"03/07/2018","375.60","366.00","375.60","365.00","45.20K","0.81%"
"03/08/2018","362.00","375.00","375.00","360.60","87.03K","-3.62%"
"03/09/2018","365.00","362.20","366.00","357.80","86.71K","0.83%"
"03/12/2018","373.80","368.80","373.80","363.60","22.70K","2.41%"
"03/13/2018","375.00","369.80","378.60","369.60","53.90K","0.32%"
"03/14/2018","379.60","378.00","379.60","374.00","81.34K","1.23%"
"03/15/2018","368.00","378.20","379.80","368.00","87.61K","-3.06%"
"03/16/2018","363.00","367.00","374.40","363.00","216.26K","-1.36%"
"03/19/2018","355.60","363.00","364.20","355.60","38.74K","-2.04%"
"03/20/2018","355.20","355.00","356.80","352.60","64.69K","-0.11%"
"03/21/2018","374.00","358.00","374.00","356.00","84.76K","5.29%"
"03/22/2018","377.60","372.40","381.60","369.80","99.22K","0.96%"
"03/23/2018","372.00","370.00","377.60","366.00","77.32K","-1.48%"
"03/26/2018","361.60","377.40","377.40","361.60","30.28K","-2.80%"
"03/27/2018","361.60","371.00","372.80","361.60","31.73K","0.00%"
"03/28/2018","360.80","358.40","364.00","357.60","48.87K","-0.22%"
"03/29/2018","362.20","364.00","366.40","361.00","79.65K","0.39%"
"04/03/2018","364.00","362.20","368.40","359.60","59.91K","0.50%"
"04/04/2018","348.40","362.60","367.60","346.40","83.05K","-4.29%"
"04/05/2018","352.40","354.20","356.00","350.20","71.50K","1.15%"
"04/06/2018","351.00","350.40","353.00","346.20","59.89K","-0.40%"
"04/09/2018","361.60","354.20","361.60","351.20","56.66K","3.02%"
"04/10/2018","375.80","364.00","378.80","360.00","42.13K","3.93%"
"04/11/2018","371.40","377.00","377.00","365.40","30.22K","-1.17%"
"04/12/2018","373.60","370.80","376.60","364.00","25.75K","0.59%"
"04/13/2018","373.00","373.20","375.40","371.00","29.02K","-0.16%"
"04/16/2018","370.80","372.00","373.00","367.40","12.65K","-0.59%"
"04/17/2018","372.60","373.40","374.00","364.60","27.55K","0.49%"
"04/18/2018","371.60","374.40","374.40","366.60","40.70K","-0.27%"
"04/19/2018","376.60","372.20","381.40","370.20","44.10K","1.35%"
"04/20/2018","372.40","374.60","379.20","372.40","23.63K","-1.12%"
"04/23/2018","370.60","372.60","377.40","366.60","36.95K","-0.48%"
"04/24/2018","356.00","376.40","376.40","356.00","43.84K","-3.94%"
"04/25/2018","365.40","359.00","365.40","356.40","29.52K","2.64%"
"04/26/2018","369.00","362.80","369.00","362.40","25.84K","0.99%"
"04/27/2018","367.80","366.80","370.60","363.20","26.54K","-0.33%"
"04/30/2018","371.40","367.20","371.40","363.60","22.95K","0.98%"
"05/02/2018","364.60","370.40","370.80","362.20","29.48K","-1.83%"
"05/04/2018","352.20","360.00","363.20","348.20","53.70K","-3.40%"
"05/07/2018","352.40","356.20","357.80","352.20","18.29K","0.06%"
"05/08/2018","357.80","354.20","360.60","350.60","50.40K","1.53%"
"05/09/2018","364.20","357.80","369.80","357.40","41.59K","1.79%"
"05/10/2018","373.60","364.20","375.00","364.20","33.66K","2.58%"
"05/11/2018","380.00","367.20","380.00","366.80","35.26K","1.71%"
"05/14/2018","371.00","378.20","379.00","370.40","58.86K","-2.37%"
"05/15/2018","367.00","372.00","372.00","364.60","46.62K","-1.08%"
"05/16/2018","374.00","363.00","374.80","363.00","33.46K","1.91%"
"05/17/2018","365.20","371.40","375.00","365.20","40.26K","-2.35%"
"05/18/2018","357.00","362.00","367.80","357.00","37.12K","-2.25%"
"05/21/2018","362.80","360.20","365.40","358.60","35.74K","1.62%"
"05/22/2018","362.00","361.00","362.60","357.00","56.82K","-0.22%"
"05/23/2018","359.00","360.20","361.80","353.40","48.47K","-0.83%"
"05/24/2018","361.00","362.00","364.80","358.40","36.70K","0.56%"
"05/25/2018","362.00","359.60","363.80","359.60","34.45K","0.28%"
"05/28/2018","360.00","360.00","362.60","355.00","45.09K","-0.55%"
"05/29/2018","353.80","356.00","358.60","347.20","62.94K","-1.72%"
"05/30/2018","347.00","353.00","359.20","343.80","252.24K","-1.92%"
"06/01/2018","354.60","347.40","355.80","344.60","41.89K","2.19%"
"06/04/2018","356.80","353.40","357.20","352.20","48.77K","0.62%"
"06/05/2018","366.20","356.20","366.80","352.40","66.20K","2.63%"
"06/06/2018","358.80","367.60","367.60","357.00","42.72K","-2.02%"
"06/07/2018","362.80","359.20","365.00","357.20","22.50K","1.11%"
"06/08/2018","359.00","363.00","363.00","354.20","28.20K","-1.05%"
"06/11/2018","360.80","357.20","364.40","357.20","25.53K","0.50%"
